Advertising Channel,Spend ($USD),Incremental Approved Credit Cards
Google Search,0,0
Google Search,200,1044
Google Search,400,1285
Google Search,800,1526
Google Search,1200,1667
Google Search,1600,1767
Google Search,2000,1845
Google Search,2200,1878
Google Search,2400,1908
Google Search,2800,1962
Google Search,3200,2008
Google Search,3600,2049
Google Search,4000,2086
Google Search,4400,2119
Google Search,4800,2149
Google Search,5200,2177
Google Search,5600,2203
Google Search,6000,2227
Google Search,6400,2249
Google Search,6800,2270
Google Search,7200,2290
Google Search,7600,2309
Google Search,8000,2327
Google Search,8400,2344
Google Search,8800,2360
Google Search,9200,2375
Google Search,9600,2390
Google Search,10000,2404
Google Search,10400,2418
Google Search,10800,2431
Google Search,11200,2444
Google Search,11600,2456
Google Search,12000,2468
Google Search,12400,2479
Google Search,12800,2490
Google Search,13200,2501
Google Search,13600,2511
Google Search,14000,2521
Google Search,14400,2531
Google Search,14800,2541
Google Search,15200,2550
Google Search,15600,2559
Google Search,16000,2568
Google Search,16400,2576
Google Search,16800,2585
Google Search,17200,2593
Google Search,17600,2601
Google Search,18000,2609
Google Search,18400,2616
Google Search,18800,2624
Google Search,19200,2631
Google Search,19600,2638
Google Search,20000,2645
Google Search,20400,2652
Google Search,20800,2659
Google Search,21200,2665
Google Search,21600,2672
Google Search,22000,2678
Google Search,22400,2685
Google Search,22800,2691
Google Search,23200,2697
Google Search,23600,2703
Google Search,24000,2709
Google Search,24400,2714
Google Search,24800,2720
Google Search,25200,2726
Social Media,0,0
Social Media,200,46
Social Media,400,106
Social Media,800,167
Social Media,1200,202
Social Media,1600,227
Social Media,2000,246
Social Media,2200,254
Social Media,2400,262
Social Media,2800,275
Social Media,3200,287
Social Media,3600,297
Social Media,4000,306
Social Media,4400,315
Social Media,4800,322
Social Media,5200,329
Social Media,5600,336
Social Media,6000,342
Social Media,6400,347
Social Media,6800,353
Social Media,7200,357
Social Media,7600,362
Social Media,8000,367
Social Media,8400,371
Social Media,8800,375
Social Media,9200,379
Social Media,9600,382
Social Media,10000,386
Social Media,10400,389
Social Media,10800,393
Social Media,11200,396
Social Media,11600,399
Social Media,12000,402
Social Media,12400,405
Social Media,12800,407
Social Media,13200,410
Social Media,13600,413
Social Media,14000,415
Social Media,14400,418
Social Media,14800,420
Social Media,15200,422
Social Media,15600,425
Social Media,16000,427
Social Media,16400,429
Social Media,16800,431
Social Media,17200,433
Social Media,17600,435
Social Media,18000,437
Social Media,18400,439
Social Media,18800,441
Social Media,19200,443
Social Media,19600,445
Social Media,20000,446
Social Media,20400,448
Social Media,20800,450
Social Media,21200,451
Social Media,21600,453
Social Media,22000,455
Social Media,22400,456
Social Media,22800,458
Social Media,23200,459
Social Media,23600,461
Social Media,24000,462
Social Media,24400,464
Social Media,24800,465
Social Media,25200,466
Online Banner & Programmatic,0,0
Online Banner & Programmatic,200,462
Online Banner & Programmatic,400,598
Online Banner & Programmatic,800,733
Online Banner & Programmatic,1200,812
Online Banner & Programmatic,1600,869
Online Banner & Programmatic,2000,912
Online Banner & Programmatic,2200,931
Online Banner & Programmatic,2400,948
Online Banner & Programmatic,2800,978
Online Banner & Programmatic,3200,1004
Online Banner & Programmatic,3600,1027
Online Banner & Programmatic,4000,1048
Online Banner & Programmatic,4400,1066
Online Banner & Programmatic,4800,1083
Online Banner & Programmatic,5200,1099
Online Banner & Programmatic,5600,1114
Online Banner & Programmatic,6000,1127
Online Banner & Programmatic,6400,1140
Online Banner & Programmatic,6800,1152
Online Banner & Programmatic,7200,1163
Online Banner & Programmatic,7600,1173
Online Banner & Programmatic,8000,1183
Online Banner & Programmatic,8400,1193
Online Banner & Programmatic,8800,1202
Online Banner & Programmatic,9200,1211
Online Banner & Programmatic,9600,1219
Online Banner & Programmatic,10000,1227
Online Banner & Programmatic,10400,1235
Online Banner & Programmatic,10800,1242
Online Banner & Programmatic,11200,1249
Online Banner & Programmatic,11600,1256
Online Banner & Programmatic,12000,1263
Online Banner & Programmatic,12400,1269
Online Banner & Programmatic,12800,1275
Online Banner & Programmatic,13200,1281
Online Banner & Programmatic,13600,1287
Online Banner & Programmatic,14000,1293
Online Banner & Programmatic,14400,1298
Online Banner & Programmatic,14800,1304
Online Banner & Programmatic,15200,1309
Online Banner & Programmatic,15600,1314
Online Banner & Programmatic,16000,1319
Online Banner & Programmatic,16400,1324
Online Banner & Programmatic,16800,1328
Online Banner & Programmatic,17200,1333
Online Banner & Programmatic,17600,1338
Online Banner & Programmatic,18000,1342
Online Banner & Programmatic,18400,1346
Online Banner & Programmatic,18800,1350
Online Banner & Programmatic,19200,1355
Online Banner & Programmatic,19600,1359
Online Banner & Programmatic,20000,1363
Online Banner & Programmatic,20400,1366
Online Banner & Programmatic,20800,1370
Online Banner & Programmatic,21200,1374
Online Banner & Programmatic,21600,1378
Online Banner & Programmatic,22000,1381
Online Banner & Programmatic,22400,1385
Online Banner & Programmatic,22800,1388
Online Banner & Programmatic,23200,1392
Online Banner & Programmatic,23600,1395
Online Banner & Programmatic,24000,1398
Online Banner & Programmatic,24400,1401
Online Banner & Programmatic,24800,1405
Online Banner & Programmatic,25200,1408
