channel,island,Spend,Additional Incremental Approved Credit Cards,flipper_length,body_mass,sex
Google Search,Google Search,0,0,181,3750,All
Google Search,Google Search,200,1044,186,3800,All
Google Search,Google Search,400,1285,195,3250,All
Google Search,Google Search,800,1526,NaN,NaN,All
Google Search,Google Search,1200,1667,193,3450,All
Google Search,Google Search,1600,1767,190,3650,All
Google Search,Google Search,2000,1845,181,3625,All
Google Search,Google Search,2200,1878,195,4675,All
Google Search,Google Search,2400,1908,193,3475,All
Google Search,Google Search,2800,1962,190,4250,All
Google Search,Google Search,3200,2008,186,3300,All
Google Search,Google Search,3600,2049,180,3700,All
Google Search,Google Search,4000,2086,182,3200,All
Google Search,Google Search,4400,2119,191,3800,All
Google Search,Google Search,4800,2149,198,4400,All
Google Search,Google Search,5200,2177,185,3700,All
Google Search,Google Search,5600,2203,195,3450,All
Google Search,Google Search,6000,2227,197,4500,All
Google Search,Google Search,6400,2249,184,3325,All
Google Search,Google Search,6800,2270,194,4200,All
Google Search,Google Search,7200,2290,174,3400,All
Google Search,Google Search,7600,2309,180,3600,All
Google Search,Google Search,8000,2327,189,3800,All
Google Search,Google Search,8400,2344,185,3950,All
Google Search,Google Search,8800,2360,180,3800,All
Google Search,Google Search,9200,2375,187,3800,All
Google Search,Google Search,9600,2390,183,3550,All
Google Search,Google Search,10000,2404,187,3200,All
Google Search,Google Search,10400,2418,172,3150,All
Google Search,Google Search,10800,2431,180,3950,All
Google Search,Google Search,11200,2444,178,3250,All
Google Search,Google Search,11600,2456,178,3900,All
Google Search,Google Search,12000,2468,188,3300,All
Google Search,Google Search,12400,2479,184,3900,All
Google Search,Google Search,12800,2490,195,3325,All
Google Search,Google Search,13200,2501,196,4150,All
Google Search,Google Search,13600,2511,190,3950,All
Google Search,Google Search,14000,2521,180,3550,All
Google Search,Google Search,14400,2531,181,3300,All
Google Search,Google Search,14800,2541,184,4650,All
Google Search,Google Search,15200,2550,182,3150,All
Google Search,Google Search,15600,2559,195,3900,All
Google Search,Google Search,16000,2568,186,3100,All
Google Search,Google Search,16400,2576,196,4400,All
Google Search,Google Search,16800,2585,185,3000,All
Google Search,Google Search,17200,2593,190,4600,All
Google Search,Google Search,17600,2601,182,3425,All
Google Search,Google Search,18000,2609,179,2975,All
Google Search,Google Search,18400,2616,190,3450,All
Google Search,Google Search,18800,2624,191,4150,All
Google Search,Google Search,19200,2631,186,3500,All
Google Search,Google Search,19600,2638,188,4300,All
Google Search,Google Search,20000,2645,190,3450,All
Google Search,Google Search,20400,2652,200,4050,All
Google Search,Google Search,20800,2659,187,2900,All
Google Search,Google Search,21200,2665,191,3700,All
Google Search,Google Search,21600,2672,186,3550,All
Google Search,Google Search,22000,2678,193,3800,All
Google Search,Google Search,22400,2685,181,2850,All
Google Search,Google Search,22800,2691,194,3750,All
Google Search,Google Search,23200,2697,185,3150,All
Google Search,Google Search,23600,2703,195,4400,All
Google Search,Google Search,24000,2709,185,3600,All
Google Search,Google Search,24400,2714,192,4050,All
Google Search,Google Search,24800,2720,184,2850,All
Google Search,Google Search,25200,2726,192,3950,All
Social Media,Social Media,0,0,195,3350,All
Social Media,Social Media,200,46,188,4100,All
Social Media,Social Media,400,106,190,3050,All
Social Media,Social Media,800,167,198,4450,All
Social Media,Social Media,1200,202,190,3600,All
Social Media,Social Media,1600,227,190,3900,All
Social Media,Social Media,2000,246,196,3550,All
Social Media,Social Media,2200,254,197,4150,All
Social Media,Social Media,2400,262,190,3700,All
Social Media,Social Media,2800,275,195,4250,All
Social Media,Social Media,3200,287,191,3700,All
Social Media,Social Media,3600,297,184,3900,All
